id,severity,dtp_cat,dead_count,injured_count,participants,peop_in_car,veh_category,participant_violations,region,address,exp,child,pedestr,bump,light,village,city,highway,gender,speed,low_distance,op_way,give_way,red_light,bad_grip,bad_visibility,precip,cloudy,fog_snowstorm,houses,yard_exit,r_roadcross,nr_roadcross,school,bridge,industry,mall,long,lat,rwd,awd,fwd,weight,power,vehicle_age,month,d_week,weekday,time_of_day,week,pickup_cluster,distance
2654960,0,Съезд с дороги,0,1,2,2,0,Несоответствие скорости конкретным условиям движения,Шимский район,"Р-56 Великий Новгород - Сольцы - Порхов - Псков, 52 км",,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,30.657692,58.235996,0,0,1,1300,120,12.0,11,2,0,5,47,13,47.863398130871765
2557542,2,Наезд на пешехода,1,0,2,1,0,Несоответствие скорости конкретным условиям движения,Шимский район,"Р-56 Великий Новгород - Сольцы - Порхов - Псков, 41 км",42.0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,30.79309,58.252055,0,0,1,1500,150,13.0,3,2,0,6,13,13,40.97283878459293
2804299,0,Наезд на пешехода,0,1,2,1,0,"Другие нарушения ПДД водителем, Непредоставление преимущества в движении пешеходу",Шимский район,"рп Шимск, ул Новгородская, 6",25.0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,30.721529,58.210136,0,0,1,1400,150,13.0,12,1,0,5,49,13,47.239828135281506
2882359,1,Наезд на пешехода,0,1,2,1,0,Светопропускание стекол менее нормативного,Шимский район,"рп Шимск, ул Ленина, 3",20.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,30.718649,58.209685,0,1,0,1700,150,13.0,8,0,0,3,34,13,47.39065324480949
2784521,2,Наезд на стоящее ТС,1,1,3,2,0,"Неправильный выбор дистанции, Нарушение водителем правил применения ремней безопасности (ставится в случае, когда не пристегнут пассажир)",Шимский район,"Шимск - Старая Русса - Холм, 0 км",26.0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,30.723095,58.206988,1,0,0,1000,80,15.0,11,4,0,6,46,13,47.43760057497333
2784521,2,Наезд на стоящее ТС,1,1,3,1,1,"Нарушение режима труда и отдыха водителя, Несоблюдение требований ОСАГО, Отсутствие у водителя документов, предусмотренных законодательными и иными НПА",Шимский район,"Шимск - Старая Русса - Холм, 0 км",21.0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,30.723095,58.206988,1,0,0,8000,540,30.0,11,4,0,6,46,13,47.43760057497333
2760193,1,Столкновение,0,2,4,2,0,"Несоблюдение очередности проезда, Несоблюдение требований ОСАГО",Шимский район,"Р-56 Великий Новгород - Сольцы - Порхов - Псков, 52 км",3.0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,30.658572,58.236391,0,0,1,1350,130,34.0,9,0,0,5,39,13,47.79573023577681
2760193,0,Столкновение,0,2,4,2,0,Несоблюдение требований ОСАГО,Шимский район,"Р-56 Великий Новгород - Сольцы - Порхов - Псков, 52 км",15.0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,30.658572,58.236391,0,0,1,1300,140,15.0,9,0,0,5,39,13,47.79573023577681
2719062,0,Столкновение,0,1,3,1,0,"Несоблюдение очередности проезда, Несоблюдение требований ОСАГО",Шимский район,"Новгород-Псков-Феофилова Пустынь, 11 км",6.0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,30.500214,58.290377,1,0,0,1400,100,21.0,1,0,0,5,1,13,51.75060703598708
2719062,1,Столкновение,0,1,3,2,0,,Шимский район,"Новгород-Псков-Феофилова Пустынь, 11 км",15.0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,30.500214,58.290377,0,0,1,1300,150,10.0,1,0,0,5,1,13,51.75060703598708
