severity,peop_in_car,exp,city,highway,gender,speed,op_way,give_way,red_light,bad_grip,bad_visibility,houses,yard_exit,r_roadcross,nr_roadcross,bridge,industry,mall,rwd,awd,fwd,weight,power,vehicle_age,month,d_week,time_of_day,distance,medium,spacious,heavy,small
0,2,16,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1300,120,15,10,2,5,47.863398130871765,1,0,0,0
2,1,44,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1500,150,16,2,2,6,40.97283878459293,1,0,0,0
0,1,27,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,1400,150,16,11,1,5,47.23982813528151,1,0,0,0
1,1,22,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1700,150,16,7,0,3,47.39065324480949,1,0,0,0
2,2,28,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1000,80,18,10,4,6,47.43760057497333,1,0,0,0
2,1,23,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,8000,540,33,10,4,6,47.43760057497333,0,1,0,0
1,2,2,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1350,130,37,8,0,5,47.79573023577681,1,0,0,0
0,2,17,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1300,140,18,8,0,5,47.79573023577681,1,0,0,0
0,1,5,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1400,100,24,0,0,5,51.75060703598708,1,0,0,0
1,2,17,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1300,150,11,0,0,5,51.75060703598708,1,0,0,0
2,2,2,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1100,85,6,2,1,5,45.10254679860695,1,0,0,0
1,2,19,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1500,150,17,2,1,5,45.10254679860695,1,0,0,0
1,1,53,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1200,90,9,1,1,6,46.7677734894494,1,0,0,0
1,1,17,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1800,200,23,7,4,2,61.90643592742791,1,0,0,0
1,1,34,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,1,2500,100,21,9,3,4,47.40355752122946,0,1,0,0
0,1,48,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1300,80,17,9,4,3,47.3927055910951,1,0,0,0
1,1,5,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,2500,100,18,7,5,4,46.768434438211706,0,1,0,0
1,1,14,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1300,120,21,8,3,5,47.79202366542639,1,0,0,0
1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,3000,150,8,8,3,5,47.79202366542639,1,0,0,0
2,1,33,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2500,120,19,8,3,5,47.79202366542639,1,0,0,0
2,1,5,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1000,80,8,11,0,5,47.40029884618788,1,0,0,0
1,1,7,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1400,150,1,11,0,5,47.40029884618788,1,0,0,0
0,4,17,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1500,150,3,5,6,2,47.78645987562612,1,0,0,0
1,1,11,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1300,130,9,4,4,7,47.27921026174606,1,0,0,0
1,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,12000,400,8,9,3,5,45.71680041527213,0,1,0,0
1,1,11,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1200,98,16,0,4,2,46.74900627394354,1,0,0,0
1,1,30,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,2000,150,9,11,3,6,47.23456720064996,1,0,0,0
1,1,7,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1400,130,9,4,1,5,46.89676162173181,1,0,0,0
0,1,8,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1100,75,6,9,6,6,46.75120819265124,1,0,0,0
